Logger description: 
Log period: 0.1 s
Statistics period: 0.01 s
Statistics window: 0.1 s
Maximum duration: 
Time,Time,Time,GearOilInTemp,GearOilOutTemp,RoomTemp,TOilLEWAct,TOilLEWDem,Dyno2,Dyno1Power,Dyno1Speed,Dyno1Torque,Dyno2Power,Dyno2Speed,Dyno2Torque,Efficiency,Efficiency10kNm,GearOilInTemp_Avg,GearOilOutTemp_Avg,RoomTemp_Avg,TOilLEWAct_Avg,TOilLEWDem_Avg,Dyno2_Avg,Dyno1Power_Avg,Dyno1Speed_Avg,Dyno1Torque_Avg,Dyno2Power_Avg,Dyno2Speed_Avg,Dyno2Torque_Avg,Efficiency_Avg,Efficiency10kNm_Avg
Date,Time,ms,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real,°C,°C,°C,°C,°C,Nm,W,rpm,Nm,W,rpm,Nm,Real,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
4/22/2015,9:50:58,352.4,59.053728949479193,,,90.273602961600432,90,-3291.8271906456957,304087.965746406,1448.834094440386,2004.2503031512204,-300804.81102547131,882.44412861670321,-3255.1345311056125,0.98839204374461231,0.98296007025794396,59.085805934240398,,,90.273602961600432,90.000000000000057,-3258.5686873679224,303449.54380075831,1449.8975477101885,1998.5764907322621,-299964.01293698559,882.5176434650557,-3245.7658539389658,0.98839204374461553,0.98296007025793775
4/22/2015,9:50:58,452.4,58.877305533280321,,,90.31022515803636,90,-3368.534155137676,302521.86446530861,1449.7225419120027,1992.706137804656,-298633.89141814184,882.43753276258292,-3231.6662582451481,0.9882616988932249,0.98649260180058962,58.965517241377711,,,90.31022515803636,90.000000000000057,-3232.575167905155,303292.24682922184,1449.8208484147699,1997.6468611945652,-299802.24281049508,882.41785221481143,-3244.3810036720979,0.98826169889322857,0.98649260180058396
4/22/2015,9:50:58,552.4,58.74899759422658,,,90.31022515803636,90,-3386.3516866398786,302478.99974343856,1451.2525962871241,1990.3231779425898,-298072.81537640525,882.55588161559569,-3225.1620292845478,0.98807304340570967,0.98852828527118131,58.813151563751262,,,90.31022515803636,90.000000000000057,-3259.7795060264334,302625.18053080235,1449.7030539928128,1993.4148504367527,-298992.46819972579,882.53169819888274,-3235.2016350748299,0.98807304340571223,0.98852828527117542
4/22/2015,9:50:58,652.5,58.63672814755455,,,90.31022515803636,90,-3170.4267924612059,303864.92526467767,1450.2738381891834,2000.7920000201034,-300361.95046829479,882.44709368969689,-3250.331230660403,0.98802417415819721,0.99039704511022009,58.692862870888121,,,90.31022515803636,90.000000000000057,-3263.1637686045119,304079.28746115608,1449.8569633369593,2002.7786346999087,-300479.6485721512,882.52057246226684,-3251.3343690662009,0.98802417415819954,0.99039704511021331
4/22/2015,9:50:58,752.5,58.572574178027708,,,90.31022515803636,90,-3185.3710202844077,301770.65873505687,1450.6729026595247,1986.4557446298725,-298061.70513786079,882.22897926816097,-3226.2368274350465,0.98811589030556424,0.99020895732051539,58.604651162788514,,,90.31022515803636,90.000000000000057,-3210.7681090100377,303730.85419163993,1449.7552116928164,2000.6264617754164,-300496.53723153227,882.47371196257166,-3251.6880611319866,0.9881158903055679,0.99020895732050929
4/22/2015,9:50:58,852.5,58.460304731355677,,,90.273602961600432,90,-3277.4633068707626,302608.89500897506,1449.4868675506364,1993.60349689704,-299324.06221764808,882.18976015705459,-3240.0446869709967,0.98805847822620951,0.98700057789668494,58.516439454688907,,,90.273602961600432,90.000000000000057,-3262.9132375488084,301897.52563670458,1449.726395002825,1988.5910153139073,-298443.98037871363,882.41001261524627,-3229.7111428477951,0.9880584782262124,0.98700057789667928
4/22/2015,9:50:58,952.7,58.267842822775094,,,90.383469550908217,90,-3078.9160499729451,302470.04420515016,1449.2620308376575,1992.9978836739238,-299608.45414533321,882.49684392092661,-3241.9945837420237,0.98834110860774638,0.98875050196780367,58.364073777062686,,,90.383469550908217,90.000000000000057,-3198.9845516643063,302392.62285455578,1449.685937003944,1991.9058487881769,-298999.53751978825,882.45641621299467,-3235.5533957365647,0.98834110860774993,0.98875050196779779
4/22/2015,9:50:59,52.5,58.139534883721353,,,90.383469550908217,90,-3293.5048133446544,304796.18516864232,1448.6332998681719,2009.1966480222372,-302159.33030543954,882.75382010828343,-3268.6452275141733,0.98856569503989711,0.98746131031539086,58.203688853245694,,,90.383469550908217,90.000000000000057,-3266.9866376887021,302816.95124570932,1449.9778025696546,1994.3017427233335,-299159.19268177549,882.535089048489,-3236.9904973232515,0.98856569503990011,0.98746131031538487
4/22/2015,9:50:59,152.6,58.043303929431033,,,90.420091747344145,90,-3301.6394832093333,304554.79371760425,1449.5611736795354,2006.320329598113,-300964.68111385708,882.83063504996198,-3255.4386850861065,0.98888881443139198,0.9904787004465001,58.09141940657355,,,90.420091747344145,90.000000000000057,-3264.7733192639453,304003.65678317595,1450.2779324154628,2001.702111324214,-300402.20392724796,882.60837476623396,-3250.1724693042547,0.98888881443139576,0.99047870044649433
4/22/2015,9:50:59,252.6,57.979149959904191,,,90.420091747344145,90,-3328.5113020316626,303328.14613925689,1450.1354544631145,1997.4481841009904,-299348.47786854743,882.51971734070662,-3239.0974857791953,0.98870299359774272,0.99451978315077538,58.011226944664941,,,90.420091747344145,90.000000000000057,-3238.1037617275088,303649.81397006643,1449.9474752847389,1999.8286855523875,-299910.2282921219,882.4813855714151,-3245.3150593158689,0.98870299359774572,0.99451978315076883
